,year,runtime,title,genre,actor,actress,director,popularity,premiere,imdb score,language
138,1971,96,Carnal Knowledge,Drama,"Nicholson, Jack","Bergen, Candice","Nichols, Mike",10,,,
139,1970,126,Getting Straight,Comedy,"Gould, Elliott","Bergen, Candice","Rush, Richard",83,,,
140,1972,90,"Scarlet Letter, The",Drama,"Albaicín, Rafael","Berger, Senta","Wenders, Wim",55,,,
141,1935,75,"Count of Old Town, The",Comedy,"Adolphson, Edvin","Bergman, Ingrid","Adolphson, Edvin",72,,,
142,1978,97,Autumn Sonata,Drama,"Björk, Halvar","Bergman, Ingrid","Bergman, Ingmar",49,,,
143,1944,114,Gaslight,Drama,"Boyer, Charles","Bergman, Ingrid","Cukor, George",25,,,
144,1958,100,Indiscreet,Drama,"Grant, Cary","Bergman, Ingrid","Donen, Stanley",1,,,
145,1941,75,Walpurgis Night,Drama,"Sjöström, Victor","Bergman, Ingrid","Edgren, Gustaf",32,,,
146,1948,100,Joan of Arc,Drama,"Ferrer, Jose","Bergman, Ingrid","Fleming, Victor",7,,,
147,1982,195,A Woman Called Golda,Drama,"Beatty, Ned","Bergman, Ingrid","Gibson, Alan",15,,,
148,1969,98,A Walk in the Spring Rain,Drama,"Quinn, Anthony","Bergman, Ingrid","Green, Guy",2,,,
149,1949,117,Under Capricorn,Drama,"Cotten, Joseph","Bergman, Ingrid","Hitchcock, Alfred",74,,,
150,1946,101,Notorious,Mystery,"Grant, Cary","Bergman, Ingrid","Hitchcock, Alfred",42,,,
151,1940,90,June Night,Drama,"Widgren, Olof","Bergman, Ingrid","Lindberg, Per",14,,,
152,1961,120,Goodbye Again,Drama,"Perkins, Anthony","Bergman, Ingrid","Litvak, Anatole",6,,,
153,1956,106,Anastasia,Drama,"Tamiroff, Akim","Bergman, Ingrid","Litvak, Anatole",24,,,
154,1945,126,"Bells of St. Mary's, The",Drama,"Crosby, Bing","Bergman, Ingrid","McCarey, Leo",31,,,
155,1937,91,Intermezzo,Drama,"Ekman, Gösta","Bergman, Ingrid","Molander, Gustaf",32,,,
156,1938,104,A Woman's Face,Drama,"Svennberg, Tore","Bergman, Ingrid","Molander, Gustaf",49,,,
157,1935,90,Swedenhielms,Drama,"Westergren, Håkan","Bergman, Ingrid","Molander, Gustaf",88,,,
158,1939,87,Only One Night,Drama,"Adolphson, Edvin","Bergman, Ingrid","Molander, Gustav",26,,,
159,1938,74,Dollar,Drama,"Rydeberg, Georg","Bergman, Ingrid","Molander, Gustav",19,,,
160,1956,98,Elena & Her Men,Drama,"Ferrer, Mel","Bergman, Ingrid","Renoir, Jean",33,,,
161,1952,110,Europa Fifty-One,Drama,"Knox, Alexander","Bergman, Ingrid","Rossellini, Roberto",34,,,
162,1953,83,Voyage in Italy,Drama,"Sanders, George","Bergman, Ingrid","Rossellini, Roberto",57,,,
163,1954,81,Fear,Drama,"Wieman, Mathias","Bergman, Ingrid","Rossellini, Roberto",69,,,
164,1950,107,Stromboli,Drama,"Vitale, Mario","Bergman, Ingrid","Rossellini, Roberto",69,,,
165,1969,103,Cactus Flower,Comedy,"Matthau, Walter","Bergman, Ingrid","Saks, Gene",67,,,
168,1987,91,Programmed to Kill,Action,"Ginty, Robert","Bergman, Sandahl","Holzman, Allan",71,,,
169,1982,128,Conan the Barbarian,Action,"Schwarzenegger, Arnold","Bergman, Sandahl","Milius, John",45,,,
170,1991,91,Raw Nerve,Mystery,"Ford, Glenn","Bergman, Sandahl","Prior, David A.",88,,,
171,1970,94,Think Dirty,Comedy,"Feldman, Marty","Berman, Shelley","Clark, Jim",31,,,
172,1982,108,King of Comedy,Drama,"De Niro, Robert","Bernhard, Sandra","Scorsese, Martin",84,,,
174,1984,158,Amadeus,Drama,"Abraham, F. Murray","Berridge, Elizabeth","Forman, Milos",6,,,
175,1973,101,White Lightning,Action,"Reynolds, Burt","Billingsley, Jennifer","Sargent, Joseph",54,,,
176,1988,172,"Unbearable Lightness of Being, The",Drama,"Day-Lewis, Daniel","Binoche, Juliette","Kaufman, Philip",5,,,
177,1972,124,"Life & Times of Judge Roy Bean, The",Western,"Newman, Paul","Bisset, Jacqueline","Huston, John",65,,,
178,1970,137,Airport,Drama,"Lancaster, Burt","Bisset, Jacqueline","Seaton, George",0,,,
179,1973,116,Day for Night,Drama,"Aumont, Jean-Pierre","Bisset, Jacqueline","Truffaut, François",10,,,
180,1952,107,Secrets of Women,Comedy,"Malmsten, Birger","Björk, Anita","Bergman, Ingmar",66,,,
181,1976,116,Burnt Offerings,Horror,"Reed, Oliver","Black, Karen","Curtis, Dan",35,,,
182,1969,94,Easy Rider,Drama,"Fonda, Peter","Black, Karen","Hopper, Dennis",36,,,
183,1991,98,Five Easy Pieces,Drama,"Nicholson, Jack","Black, Karen","Rafelson, Bob",2,,,
184,1974,144,"Day of the Locust, The",Drama,"Sutherland, Donald","Black, Karen","Schlesinger, John",81,,,
185,1964,112,Goldfinger,Action,"Connery, Sean","Blackman, Honor","Hamilton, Guy",77,,,
186,1977,117,"Exorcist II, The Heretic",Horror,"Burton, Richard","Blair, Linda","Boorman, John",29,,,
188,1942,88,Lady for a Night,Drama,"Wayne, John","Blondell, Joan","Leigh, Jason",12,,,
